,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту
188,44.217512,43.087411,Минеральные Воды,СКФО,ВПП,387976.0,2017,Число людей,Ростовский,установлен,да,не применимо,2102400
189,50.807859,81.965854,Михайловка,СФО,АПП,474743.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,700800
190,48.759866,39.737029,Можаевка,ЮФО,АПП,0.0,2017,Число людей,Ростовский,установлен,нет,не применимо (ЛНР),0
191,51.636004,100.860313,Монды,ДФО,АПП,41729.0,2017,Число людей,Читинский,установлен,да,Монголия,0
192,55.278507,20.963083,Морское,СЗФО,АПП,229455.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика,73000
193,53.547806,142.516746,Москальво,ДФО,МПП,60.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
194,55.603563,37.282957,Москва (Внуково),ЦФО,ВПП,6765194.0,2017,Число людей,Центральный аппарат,установлен,да,не применимо,24002400
195,55.413263,37.899571,Москва (Домодедово),ЦФО,ВПП,13686484.0,2017,Число людей,Центральный аппарат,установлен,да,не применимо,23476800
196,55.966194,37.416206,Москва (Шереметьево),ЦФО,ВПП,18684081.0,2017,Число людей,Центральный аппарат,установлен,да,не применимо,84779280
197,50.35,90.5,Мугур-Аксы,СФО,АПП,0.0,2017,Число людей,Новосибирский,установлен,нет,Монголия,0
198,68.785334,32.757483,Мурманск,СЗФО,ВПП,29744.0,2017,Число людей,Мурманский,установлен,да,не применимо,1401600
199,68.97922,33.068085,Мурманск,СЗФО,МПП,59861.0,2017,Число людей,Мурманский,установлен,да,не применимо,1401600
200,43.50836,43.635906,Нальчик,СКФО,ВПП,28944.0,2017,Число людей,Северо-Кавказский,установлен,да,не применимо,0
201,67.647187,53.002155,Нарьян-Мар,СЗФО,МПП,0.0,2017,Число людей,Мурманский,установлен,нет,не применимо,0
202,50.388174,106.100215,Наушки,ДФО,ЖДПП,67158.0,2017,Число людей,Читинский,установлен,да,Монголия,0
203,42.808377,132.882515,Находка,ДФО,МПП,75614.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
204,46.676748,141.85372,Невельск,ДФО,МПП,26167.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
205,50.982706,81.519878,Неверовская,СФО,ЖДПП,9446.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,87600
206,53.7267000004649,73.8075000010431,Невольное,СФО,АПП,67070.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,0
