,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
216,54.645721,22.736633,Чернышевское,СЗФО,АПП,135092.0,2020,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.23
218,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,153622.0,2020,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.4
219,43.397314,40.002072,Адлер,ЮФО,АПП,100691.0,2021,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.84
221,54.006458,61.625926,Бугристое,УФО,АПП,313418.0,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.86
222,56.356309,28.197336,Бурачки,СЗФО,АПП,135512.0,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500.0,1.24
223,42.768431,44.631185,Верхний Ларс,СКФО,АПП,296877.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,4.78
224,62.168784,30.635873,Вяртсиля,СЗФО,АПП,96501.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800.0,2.2
227,64.545064,29.994016,Люття,СЗФО,АПП,30286.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900.0,1.38
228,64.5496,30.665,Люття,СЗФО,ЖДПП,3858.0,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,3650.0,1.06
231,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,37042.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500.0,1.01
234,49.643629,89.44195,Ташанта,СФО,АПП,8222.0,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980.0,1.37
238,54.645721,22.736633,Чернышевское,СЗФО,АПП,130257.0,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.19
240,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,169212.0,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.55
241,43.397314,40.002072,Адлер,ЮФО,АПП,90346.0,2022,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.65
244,54.006458,61.625926,Бугристое,УФО,АПП,296124.0,2022,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.7
245,42.768431,44.631185,Верхний Ларс,СКФО,АПП,281926.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,4.54
248,42.056396,48.306587,Дербент,СКФО,ЖДПП,6665.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840.0,1.14
255,41.708056,48.473279,Ново-Филя,СКФО,АПП,26300.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,4380.0,6.0
259,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,35767.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,18250.0,1.96
260,49.643629,89.44195,Ташанта,СФО,АПП,11239.0,2022,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980.0,1.88
264,54.645721,22.736633,Чернышевское,СЗФО,АПП,139439.0,2022,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.27
265,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,184183.0,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.68
266,43.397314,40.002072,Адлер,ЮФО,АПП,89761.0,2017,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.46
267,42.768431,44.631185,Верхний Ларс,СКФО,АПП,17300.0,2017,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.58
270,59.376896,28.211033,Ивангород,СЗФО,АПП,28098.0,2017,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900.0,1.28
273,50.338847,36.28717,Нехотеевка,ЦФО,АПП,37432.0,2017,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280.0,1.42
274,51.881005,34.337551,Троебортное,ЦФО,АПП,19100.0,2017,Паспорта транспортных средств,Брянский,установлен,да,Украина,18250.0,1.05
275,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,10405.0,2017,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Азербайджанская Республика,7300.0,1.43
276,43.397314,40.002072,Адлер,ЮФО,АПП,93065.0,2018,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.55
277,42.768431,44.631185,Верхний Ларс,СКФО,АПП,19840.0,2018,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.81
280,59.376896,28.211033,Ивангород,СЗФО,АПП,28817.0,2018,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900.0,1.32
283,50.338847,36.28717,Нехотеевка,ЦФО,АПП,30963.0,2018,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280.0,1.18
285,43.397314,40.002072,Адлер,ЮФО,АПП,95518.0,2019,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500.0,2.62
286,42.768431,44.631185,Верхний Ларс,СКФО,АПП,21371.0,2019,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950.0,1.95
