,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
125,Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,1990,2017,Число людей,установлен,да,Республика Казахстан
130,Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,0,2017,Число людей,установлен,да,Китайская Народная Республика
131,Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,24206,2017,Число людей,установлен,да,Республика Казахстан
132,Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,949673,2017,Число людей,установлен,да,Республика Казахстан
133,"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,60784,2017,Число людей,установлен,да,Республика Казахстан
134,Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2017,Число людей,установлен,нет,Республика Казахстан
138,Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,135180,2017,Число людей,установлен,да,Украина
139,Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,16716,2017,Число людей,установлен,да,Республика Казахстан
140,Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
143,Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,354719,2017,Число людей,установлен,да,Китайская Народная Республика
146,Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,291521,2017,Число людей,установлен,да,Украина
147,Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,6195,2017,Число людей,установлен,да,Эстонская Республика
148,Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2017,Число людей,установлен,нет,Республика Польша
152,Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,11838,2017,Число людей,установлен,да,Республика Казахстан
153,Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,670501,2017,Число людей,установлен,да,Республика Казахстан
154,Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,436150,2017,Число людей,установлен,да,Эстонская Республика
158,Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,721181,2017,Число людей,установлен,да,Монголия
161,Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
163,Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,207717,2017,Число людей,установлен,да,Украина
164,Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,219977,2017,Число людей,установлен,да,Республика Казахстан
165,Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,Украина
166,Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,42357,2017,Число людей,установлен,да,Украина
167,Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,77737,2017,Число людей,установлен,да,Финляндская Республика
168,Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,114223,2017,Число людей,установлен,да,Латвийская Республика
169,Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,382020,2017,Число людей,установлен,да,Финляндская Республика
170,Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,9354,2017,Число людей,установлен,да,Финляндская Республика
175,Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2017,Число людей,установлен,да,Республика Казахстан
176,Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,19113,2017,Число людей,установлен,да,Республика Казахстан
177,Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,8143,2017,Число людей,установлен,да,Республика Польша
178,Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,1221208,2017,Число людей,установлен,да,Республика Польша
179,Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,1060824,2017,Число людей,установлен,да,Республика Польша
180,Мариинский,Уральский,52.319569,61.001741,УФО,АПП,139069,2017,Число людей,установлен,да,Республика Казахстан
181,Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,36439,2017,Число людей,установлен,нет,Китайская Народная Республика
184,Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,4824,2017,Число людей,установлен,да,Китайская Народная Республика
187,Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,1990221,2017,Число людей,установлен,да,Республика Казахстан
189,Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,474743,2017,Число людей,установлен,да,Республика Казахстан
191,Монды,Читинский,51.636004,100.860313,ДФО,АПП,41729,2017,Число людей,установлен,да,Монголия
192,Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,229455,2017,Число людей,установлен,да,Литовская Республика
197,Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2017,Число людей,установлен,нет,Монголия
202,Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,67158,2017,Число людей,установлен,да,Монголия
205,Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,9446,2017,Число людей,установлен,да,Республика Казахстан
206,Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,67070,2017,Число людей,установлен,да,Республика Казахстан
207,Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,Украина
208,Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,498170,2017,Число людей,установлен,да,Литовская Республика
209,Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,4049222,2017,Число людей,установлен,да,Украина
212,Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2017,Число людей,установлен,да,Китайская Народная Республика
213,Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,47643,2017,Число людей,установлен,да,Китайская Народная Республика
214,Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,1178388,2017,Число людей,установлен,да,Республика Южная Осетия
216,Николаевка,Уральский,53.003526,62.129645,УФО,АПП,124949,2017,Число людей,установлен,да,Республика Казахстан
222,Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,475785,2017,Число людей,установлен,да,Азербайджанская Республика
224,Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,647498,2017,Число людей,установлен,да,Украина
226,Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,453645,2017,Число людей,установлен,да,Республика Казахстан
227,Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,1394660,2017,Число людей,установлен,да,Республика Казахстан
228,Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,115882,2017,Число людей,установлен,да,Республика Казахстан
229,Олочи,Читинский,51.336732,119.873112,ДФО,АПП,2952,2017,Число людей,установлен,да,Китайская Народная Республика
231,Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,621288,2017,Число людей,установлен,да,Республика Казахстан
237,Орск,Уральский,51.084344,58.475364,ПФО,АПП,433818,2017,Число людей,установлен,да,Республика Казахстан
239,Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,18579,2017,Число людей,установлен,да,Республика Казахстан
242,Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,504182,2017,Число людей,установлен,да,Республика Казахстан
243,Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,80039,2017,Число людей,установлен,да,Республика Казахстан
245,Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
252,Петухово,Уральский,55.090975,68.242499,УФО,АПП,816415,2017,Число людей,установлен,да,Республика Казахстан
253,Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,464675,2017,Число людей,установлен,да,Республика Казахстан
254,Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,4442,2017,Число людей,установлен,да,Эстонская Республика
255,Погар,Брянский,52.369862,33.243985,ЦФО,АПП,201487,2017,Число людей,установлен,да,Украина
256,Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,37062,2017,Число людей,установлен,да,Литовская Республика
257,Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,893259,2017,Число людей,установлен,да,Китайская Народная Республика
258,Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,172766,2017,Число людей,установлен,да,Китайская Народная Республика
259,Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
260,Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,27067,2017,Число людей,установлен,да,Китайская Народная Республика
261,Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,260288,2017,Число людей,установлен,да,Китайская Народная Республика
262,Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,20218,2017,Число людей,установлен,да,Республика Казахстан
264,Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2017,Число людей,установлен,нет,Латвийская Республика
266,Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,3513,2017,Число людей,установлен,да,Китайская Народная Республика
271,Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2017,Число людей,установлен,нет,Эстонская Республика
273,Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,7775,2017,Число людей,установлен,да,Латвийская Республика
280,Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,6,2017,Число людей,установлен,да,Литовская Республика
283,Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,1215430,2017,Число людей,установлен,да,Республика Казахстан
284,Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,133989,2017,Число людей,установлен,да,Финляндская Республика
286,Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,485363,2017,Число людей,установлен,да,Финляндская Республика
290,Светлый,Уральский,50.710306,61.02061,ПФО,АПП,30636,2017,Число людей,установлен,да,Республика Казахстан
291,Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,1558466,2017,Число людей,установлен,да,Финляндская Республика
292,Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,5296,2017,Число людей,установлен,да,Финляндская Республика
293,Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,172886,2017,Число людей,установлен,да,Латвийская Республика
297,Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2017,Число людей,установлен,нет,Латвийская Республика
298,Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,84,2017,Число людей,установлен,да,Китайская Народная Республика
299,Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,518543,2017,Число людей,установлен,да,Литовская Республика
300,Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,1510,2017,Число людей,установлен,да,Литовская Республика
301,"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2017,Число людей,установлен,нет,Литовская Республика
303,Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,10063,2017,Число людей,установлен,да,Монголия
304,Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,868,2017,Число людей,установлен,да,Монголия
308,Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,17814,2017,Число людей,установлен,да,Китайская Народная Республика
309,Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2017,Число людей,установлен,нет,Эстонская Республика
310,Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,373339,2017,Число людей,установлен,да,Украина
311,Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,992105,2017,Число людей,установлен,да,Украина
312,Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,58624,2017,Число людей,установлен,да,Финляндская Республика
315,Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,23349,2017,Число людей,установлен,да,Финляндская Республика
318,Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,549064,2017,Число людей,установлен,да,Азербайджанская Республика
320,Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,94597,2017,Число людей,установлен,да,Монголия
323,Теплое,Уральский,51.504733,51.543277,ПФО,АПП,274850,2017,Число людей,установлен,да,Республика Казахстан
324,Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,Украина
325,Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
326,Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,214657,2017,Число людей,установлен,да,Украина
328,Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
331,Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,21952,2017,Число людей,установлен,да,Республика Казахстан
332,Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,2469696,2017,Число людей,установлен,да,Финляндская Республика
333,Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,70539,2017,Число людей,установлен,да,Республика Казахстан
334,Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,1568530,2017,Число людей,установлен,да,Украина
335,"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,95506,2017,Число людей,установлен,да,Республика Казахстан
337,Турий Рог,Владивостокский,45.262249,131.978153,ДФО,АПП,208794,2017,Число людей,установлен,да,Китайская Народная Республика
339,Убур-Тохтор,Читинский,50.4167,113.8333,ДФО,АПП,0,2017,Число людей,установлен,нет,Монголия
340,Убылинка,Псковский,56.87317,27.833766,СЗФО,АПП,254532,2017,Число людей,установлен,да,Латвийская Республика
348,Ушаково,Хабаровский,51.883,126.5631,ДФО,СПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
351,Хабаровск,Хабаровский,48.468957,135.057972,ДФО,РПП,121782,2017,Число людей,установлен,да,Китайская Народная Республика
353,Хандагайты (Боршо),Новосибирский,50.700218,92.069395,СФО,АПП,71336,2017,Число людей,установлен,да,Монголия
355,Хасан,Владивостокский,42.430155,130.644336,ДФО,ЖДПП,14408,2017,Число людей,установлен,да,Корейская Народно-Демократическая Республика
357,Цаган-Толгой,Новосибирский,49.957094,95.62729,СФО,АПП,15533,2017,Число людей,установлен,да,Монголия
361,Черлак,Новосибирский,54.155114,74.804456,СФО,РПП,796,2017,Число людей,установлен,да,Республика Казахстан
362,Чернышевское,Калининградский,54.645721,22.736633,СЗФО,АПП,515298,2017,Число людей,установлен,да,Литовская Республика
363,Черняховск,Калининградский,54.629537,21.817797,СЗФО,ЖДПП,8775,2017,Число людей,установлен,да,Литовская Республика
368,Шара-Сур,Новосибирский,50.515325,94.337233,СФО,АПП,6591,2017,Число людей,установлен,да,Монголия
370,Шебекино,Белгородский,50.352158,36.922684,ЦФО,АПП,794017,2017,Число людей,установлен,да,Украина
371,Шумилкино,Псковский,57.644615,27.387415,СЗФО,АПП,633619,2017,Число людей,установлен,да,Эстонская Республика
373,Эльтон,Волгоградский,49.130289,46.838265,ЮФО,ЖДПП,5617,2017,Число людей,установлен,да,Республика Казахстан
378,Яраг-Казмаляр,Северо-Кавказский,41.640607,48.40786,СКФО,АПП,1107002,2017,Число людей,установлен,да,Азербайджанская Республика
380,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2018,Число людей,установлен,нет,Китайская Народная Республика
382,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,10022500,2018,Число людей,установлен,да,Республика Абхазия
383,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,327887,2018,Число людей,установлен,да,Республика Абхазия
385,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2018,Число людей,установлен,нет,Монголия
386,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,401587,2018,Число людей,установлен,да,Республика Казахстан
388,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2018,Число людей,установлен,нет,Монголия
389,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,18277,2018,Число людей,установлен,да,Китайская Народная Республика
398,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2018,Число людей,установлен,нет,Монголия
401,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,907898,2018,Число людей,установлен,да,Республика Польша
402,Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2018,Число людей,установлен,нет,Республика Польша
404,Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2018,Число людей,установлен,нет,Украина
405,Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2018,Число людей,установлен,нет,Украина
407,Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,417948,2018,Число людей,установлен,да,Украина
410,Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,884150,2018,Число людей,установлен,да,Китайская Народная Республика
411,Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2018,Число людей,установлен,нет,Китайская Народная Республика
413,Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2018,Число людей,установлен,нет,Китайская Народная Республика
414,Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,257666,2018,Число людей,установлен,да,Королевство Норвегия
416,Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,49107,2018,Число людей,установлен,да,Латвийская Республика
417,Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,2719574,2018,Число людей,установлен,да,Финляндская Республика
418,Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,10574,2018,Число людей,установлен,да,Финляндская Республика
420,Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,10681,2018,Число людей,установлен,да,Украина
421,Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,765428,2018,Число людей,установлен,да,Украина
423,Бугристое,Уральский,54.006458,61.625926,УФО,АПП,1961888,2018,Число людей,установлен,да,Республика Казахстан
424,Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,600641,2018,Число людей,установлен,да,Латвийская Республика
425,Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2018,Число людей,установлен,нет,Республика Казахстан
426,Бусловская,Санкт-Петербургский,60.840635,28.378262,СЗФО,ЖДПП,11551,2018,Число людей,установлен,да,Финляндская Республика
431,Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2018,Число людей,установлен,нет,Украина
432,Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,127513,2018,Число людей,установлен,да,Украина
433,Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,1671,2018,Число людей,установлен,да,Республика Казахстан
434,Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,2782820,2018,Число людей,установлен,да,Республика Грузия
435,Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,4322,2018,Число людей,установлен,да,Монголия
437,Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,461202,2018,Число людей,установлен,да,Республика Казахстан
438,Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,112848,2018,Число людей,установлен,да,Республика Казахстан
445,Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,204966,2018,Число людей,установлен,да,Республика Казахстан
447,Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,98002,2018,Число людей,установлен,да,Финляндская Республика
450,Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,1163848,2018,Число людей,установлен,да,Финляндская Республика
451,Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,2854,2018,Число людей,установлен,да,Финляндская Республика
452,Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,32713,2018,Число людей,установлен,да,Азербайджанская Республика
456,Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2018,Число людей,установлен,да,Украина
457,Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2018,Число людей,установлен,нет,Украина
458,Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2018,Число людей,установлен,да,Украина
459,Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,212549,2018,Число людей,установлен,да,Республика Казахстан
460,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,209918,2018,Число людей,установлен,да,Украина
464,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,560747,2018,Число людей,установлен,да,Республика Польша
466,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,119384,2018,Число людей,установлен,да,Азербайджанская Республика
467,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2018,Число людей,установлен,нет,Китайская Народная Республика
471,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2018,Число людей,установлен,нет,Украина
474,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2018,Число людей,установлен,да,Литовская Республика
479,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2018,Число людей,установлен,нет,Республика Польша
480,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,4995,2018,Число людей,установлен,да,Республика Польша
481,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2018,Число людей,установлен,нет,Монголия
483,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,1783075,2018,Число людей,установлен,да,Китайская Народная Республика
484,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,39862,2018,Число людей,установлен,да,Китайская Народная Республика
