,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
219,Новокузнецк (Спиченково),Новосибирский,53.806618,86.870822,СФО,ВПП,42590,2017,Число людей,установлен,да,0
220,Новороссийск,Сочинский,44.720898,37.782973,ЮФО,МПП,148665,2017,Число людей,установлен,да,988000
221,Новосибирск (Толмачево),Новосибирский,55.009439,82.66736,СФО,ВПП,1493154,2017,Число людей,установлен,да,11388000
222,Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,475785,2017,Число людей,установлен,да,0
223,Новошахтинск,Ростовский,47.84551,39.760708,ЮФО,АПП,1546327,2017,Число людей,установлен,да,0
224,Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,647498,2017,Число людей,установлен,да,1091350
225,Норильск (Алыкель),Мурманский,69.326404,87.348495,СФО,ВПП,0,2017,Число людей,установлен,нет,0
226,Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,453645,2017,Число людей,установлен,да,0
227,Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,1394660,2017,Число людей,установлен,да,1051200
228,Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,115882,2017,Число людей,установлен,да,0
229,Олочи,Читинский,51.336732,119.873112,ДФО,АПП,2952,2017,Число людей,установлен,да,0
230,Ольга,Владивостокский,43.729095,135.256376,ДФО,МПП,10166,2017,Число людей,установлен,да,0
231,Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,621288,2017,Число людей,установлен,да,0
232,Оля,Волгоградский,45.784045,47.547579,ЮФО,МПП,6067,2017,Число людей,установлен,да,100010
233,Омск (Центральный),Новосибирский,55.08585,73.004372,СФО,ВПП,153499,2017,Число людей,установлен,да,1051200
234,Онега,Мурманский,63.902555,38.096453,СЗФО,МПП,466,2017,Число людей,установлен,да,0
235,Оренбург (Центральный),Уральский,51.7847,55.0986,ПФО,ВПП,81207,2017,Число людей,установлен,да,0
236,Оренбург-2,Уральский,51.791509,55.458577,ПФО,ВПП,230,2017,Число людей,установлен,да,0
237,Орск,Уральский,51.084344,58.475364,ПФО,АПП,433818,2017,Число людей,установлен,да,0
238,Орск,Уральский,51.076832,58.593305,ПФО,ВПП,69,2017,Число людей,установлен,да,0
239,Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,18579,2017,Число людей,установлен,да,0
240,Остафьево,Центральный аппарат,55.502905,37.510583,ЦФО,ВПП,4793,2017,Число людей,установлен,да,525600
241,Охотск,Хабаровский,59.350609,143.181925,ДФО,МПП,208,2017,Число людей,установлен,да,0
