Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Староцурухайтуйский,Читинский,50.199642,119.337367,ДФО,АПП,17814,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Сторожинец,Псковский,58.574516,27.829775,СЗФО,ОПП,0,2017,Число людей,установлен,нет,0,0.0,Эстонская Республика
Суджа,Брянский,51.172627,35.139334,ЦФО,АПП,373339,2017,Число людей,установлен,да,726350,0.51,Украина
Суземка,Брянский,52.318371,34.073437,ЦФО,ЖДПП,992105,2017,Число людей,установлен,да,0,0.0,Украина
Суоперя,Санкт-Петербургский,65.798791,30.109591,СЗФО,АПП,58624,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Сювяоро,Санкт-Петербургский,61.501999,29.61031,СЗФО,АПП,23349,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Тагиркент-Казмаляр,Северо-Кавказский,41.787765,48.54852,СКФО,АПП,549064,2017,Число людей,установлен,да,317550,1.73,Азербайджанская Республика
Ташанта,Новосибирский,49.643629,89.44195,СФО,АПП,94597,2017,Число людей,установлен,да,0,0.0,Монголия
Теплое,Уральский,51.504733,51.543277,ПФО,АПП,274850,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Тёткино,Брянский,51.2789,34.285,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Тёткино (Бояро-Лежачи),Брянский,51.24417,34.298149,ЦФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Тёткино (Рыжевка),Брянский,51.24413,34.298117,ЦФО,АПП,214657,2017,Число людей,установлен,да,0,0.0,Украина
Тишанка,Белгородский,50.391387,37.467621,ЦФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Украина
Топольное,Новосибирский,50.918237,80.103876,СФО,АПП,21952,2017,Число людей,установлен,да,87600,0.25,Республика Казахстан
Торфяновка,Санкт-Петербургский,60.596099,27.913096,СЗФО,АПП,2469696,2017,Число людей,установлен,да,1916250,1.29,Финляндская Республика
Третьяково,Новосибирский,50.866700001061,81.895300000906,СФО,ЖДПП,70539,2017,Число людей,установлен,да,175200,0.4,Республика Казахстан
Троебортное,Брянский,51.881005,34.337551,ЦФО,АПП,1568530,2017,Число людей,установлен,да,2007500,0.78,Украина
"Троицк (Кайрак, Магнай)",Уральский,54.1130000017583,61.5698999986053,УФО,ЖДПП,95506,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
